"id_unidade";"unidade";"natureza_despesa";"ano";"valor"
"445";"CENTRO DE TECNOLOGIA";"SERV PESSOA JURÍDICA";"18.0";"           288.00"
"205";"ESCOLA DE SAÚDE";"SERV PESSOA FÍSICA";"18.0";"         4513.50"
"30257";"CAPACITAÇÃO DE ESTUDANTES E PROFISSIONAIS DA ÁREA DA SAÚDE NOS SERVIÇOS PÚBLICOS E PRIVADOS DE NATAL E ESTADO DO RIO GRANDE DO NORTE PARA REALIZAÇÃO DO TESTE DO CORAÇÃOZINHO";"DIÁRIAS";"209.0";"             0.00"
"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"CUSTEIO";"2000.0";"         2253.98"
"445";"CENTRO DE TECNOLOGIA";"CUSTEIO";"2000.0";"         2000.00"
"338";"HUOL - SERVIÇO DE ABASTECIMENTO FARMACÊUTICO";"MATERIAL DE CONSUMO";"2000.0";"         9192.50"
"2454";"HUOL - SERVIÇO DE CONTROLE PATRIMONIAL";"EQUIP MATERIAL PERMANENTE";"2000.0";"           975.00"
"252";"NUCLEO DE PESQUISA EM ALIMENTOS E MEDICAMENTOS";"MATERIAL DE CONSUMO";"2000.0";"           166.00"
"251";"PROAE - COORDENADORIA DO SISTEMA DE RESTAURANTES UNIVERSITÁRIOS";"MATERIAL DE CONSUMO";"2000.0";"         1033.32"
"1422";"PRÓ-REITORIA DE ADMINISTRAÇÃO (PROAD)";"AUX FINANCEIRO ESTUDANTE";"2000.0";"         1300.00"
"1458";"RESERVA TÉCNICA";"PASSAGENS";"2000.0";"           156.62"
"1457";"ACERVO BIBLIOGRÁFICO";"EQUIP MATERIAL PERMANENTE";"2001.0";"       330795.53"
"21";"BIBLIOTECA CENTRAL ZILA MAMEDE";"SERV PESSOA JURÍDICA";"2001.0";"        37541.79"
"21";"BIBLIOTECA CENTRAL ZILA MAMEDE";"LOC MÃO-DE-OBRA";"2001.0";"        47452.83"
"21";"BIBLIOTECA CENTRAL ZILA MAMEDE";"MATERIAL DE CONSUMO";"2001.0";"        13994.55"
